OpenJDK 64-Bit Server VM (25.412-b1) for windows-amd64 JRE (1.8.0_412-b1), built on Apr 23 2024 12:00:37 by "Administrator" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16485540k(8761460k free), swap 28358524k(12358588k free)
CommandLine flags: -XX:ActiveProcessorCount=8 -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
683.636: [GC (Allocation Failure) [PSYoungGen: 1587855K->442191K(1997312K)] 4659092K->3513428K(7589888K), 0.1055903 secs] [Times: user=0.88 sys=0.00, real=0.11 secs] 
695.906: [GC (Allocation Failure) [PSYoungGen: 1682767K->524303K(1765376K)] 4754004K->3595540K(7357952K), 0.1206458 secs] [Times: user=0.95 sys=0.00, real=0.12 secs] 
708.529: [GC (Allocation Failure) [PSYoungGen: 1764879K->606383K(1847808K)] 4836116K->3677620K(7440384K), 0.1396495 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
718.969: [GC (Allocation Failure) [PSYoungGen: 1631919K->676815K(1702400K)] 4703156K->3748052K(7294976K), 0.1498232 secs] [Times: user=1.13 sys=0.00, real=0.15 secs] 
729.473: [GC (Allocation Failure) [PSYoungGen: 1702351K->620479K(1864192K)] 4773588K->3824797K(7456768K), 0.2073629 secs] [Times: user=1.55 sys=0.08, real=0.21 secs] 
739.104: [GC (Allocation Failure) [PSYoungGen: 1552831K->550255K(1864192K)] 4757149K->3896677K(7456768K), 0.1779850 secs] [Times: user=1.31 sys=0.08, real=0.18 secs] 
748.849: [GC (Allocation Failure) [PSYoungGen: 1482607K->446543K(1864192K)] 4829029K->3969002K(7456768K), 0.1879183 secs] [Times: user=1.33 sys=0.09, real=0.19 secs] 
758.497: [GC (Allocation Failure) [PSYoungGen: 1378895K->344319K(1864192K)] 4901354K->4039627K(7456768K), 0.1998240 secs] [Times: user=1.19 sys=0.19, real=0.20 secs] 
768.105: [GC (Allocation Failure) [PSYoungGen: 1276671K->406783K(1934848K)] 4971979K->4102099K(7527424K), 0.1006038 secs] [Times: user=0.88 sys=0.00, real=0.10 secs] 
778.754: [GC (Allocation Failure) [PSYoungGen: 1431807K->471295K(1886208K)] 5127123K->4166611K(7478784K), 0.1377972 secs] [Times: user=0.89 sys=0.02, real=0.14 secs] 
789.314: [GC (Allocation Failure) [PSYoungGen: 1496319K->540991K(1942528K)] 5191635K->4236307K(7535104K), 0.1281720 secs] [Times: user=0.89 sys=0.00, real=0.13 secs] 
800.587: [GC (Allocation Failure) [PSYoungGen: 1642303K->615071K(1716736K)] 5337619K->4310395K(7309312K), 0.1401786 secs] [Times: user=1.13 sys=0.00, real=0.14 secs] 
812.059: [GC (Allocation Failure) [PSYoungGen: 1716383K->688671K(1823232K)] 5411707K->4383995K(7415808K), 0.1873357 secs] [Times: user=1.45 sys=0.00, real=0.19 secs] 
822.065: [GC (Allocation Failure) [PSYoungGen: 1635359K->754879K(1701888K)] 5330683K->4450203K(7294464K), 0.1839183 secs] [Times: user=1.36 sys=0.00, real=0.18 secs] 
831.965: [GC (Allocation Failure) [PSYoungGen: 1701567K->679871K(1864192K)] 5396891K->4524197K(7456768K), 0.2255769 secs] [Times: user=1.72 sys=0.16, real=0.23 secs] 
841.825: [GC (Allocation Failure) [PSYoungGen: 1612223K->619871K(1864192K)] 5456549K->4598503K(7456768K), 0.2333224 secs] [Times: user=1.59 sys=0.09, real=0.23 secs] 
